entry_ts,league,market,selection,sharp_close_prob
2025-10-17T08:45:25.029490+00:00,NBA,ML,HOME,0.5942477440209677
2025-10-17T08:45:25.036068+00:00,NBA,ML,HOME,0.6005812129617178
2025-10-17T08:45:25.048628+00:00,NBA,ML,HOME,0.5996698465121939
2025-10-17T08:45:25.059602+00:00,NBA,ML,HOME,0.6057944130041449
2025-10-17T08:45:25.072505+00:00,NBA,ML,HOME,0.5958872933066298
2025-10-17T08:45:25.084769+00:00,NBA,ML,HOME,0.5961727796781796
2025-10-17T08:45:25.096973+00:00,NBA,ML,HOME,0.6015612136453576
2025-10-17T08:45:25.108338+00:00,NBA,ML,HOME,0.6042007823848126
2025-10-17T08:45:25.121017+00:00,NBA,ML,HOME,0.6068559758518126
2025-10-17T08:45:25.133485+00:00,NBA,ML,HOME,0.6009065570163549
2025-10-17T08:45:25.145446+00:00,NBA,ML,HOME,0.59655440300655
2025-10-17T08:45:25.157212+00:00,NBA,ML,HOME,0.6021943892412167
2025-10-17T08:45:25.169929+00:00,NBA,ML,HOME,0.608414348858079
2025-10-17T08:45:25.181607+00:00,NBA,ML,HOME,0.5970332638240003
2025-10-17T08:45:25.192897+00:00,NBA,ML,HOME,0.6083784316166896
2025-10-17T08:45:25.204014+00:00,NBA,ML,HOME,0.5945475732296611
2025-10-17T08:45:25.215180+00:00,NBA,ML,HOME,0.596716123812213
2025-10-17T08:45:25.226337+00:00,NBA,ML,HOME,0.5975651375960721
2025-10-17T08:45:25.237425+00:00,NBA,ML,HOME,0.5976730744551361
2025-10-17T08:45:25.248894+00:00,NBA,ML,HOME,0.6092355623621154
2025-10-17T08:45:25.260241+00:00,NBA,ML,HOME,0.599890812770197
2025-10-17T08:45:25.271713+00:00,NBA,ML,HOME,0.6000271877893382
2025-10-17T08:45:25.283311+00:00,NBA,ML,HOME,0.5978278817822706
2025-10-17T08:45:25.294505+00:00,NBA,ML,HOME,0.603647463545319
2025-10-17T08:45:25.305936+00:00,NBA,ML,HOME,0.6071174874631093
2025-10-17T08:45:25.318391+00:00,NBA,ML,HOME,0.5962156447042525
2025-10-17T08:45:25.329701+00:00,NBA,ML,HOME,0.6009490490157788
2025-10-17T08:45:25.340816+00:00,NBA,ML,HOME,0.6050778954060377
2025-10-17T08:45:25.351993+00:00,NBA,ML,HOME,0.59892795283362
2025-10-17T08:45:25.363147+00:00,NBA,ML,HOME,0.6040767863008984
2025-10-17T08:45:25.374120+00:00,NBA,ML,HOME,0.5987931741851934
2025-10-17T08:45:25.385808+00:00,NBA,ML,HOME,0.5975965661652428
2025-10-17T08:45:25.397794+00:00,NBA,ML,HOME,0.6059247188320851
2025-10-17T08:45:25.409804+00:00,NBA,ML,HOME,0.5968075539813182
2025-10-17T08:45:25.421598+00:00,NBA,ML,HOME,0.6022038126306771
2025-10-17T08:45:25.433551+00:00,NBA,ML,HOME,0.6043896878715981
2025-10-17T08:45:25.445286+00:00,NBA,ML,HOME,0.5975708693019872
2025-10-17T08:45:25.457214+00:00,NBA,ML,HOME,0.5978562178076919
2025-10-17T08:45:25.468945+00:00,NBA,ML,HOME,0.5927453603388437
2025-10-17T08:45:25.480745+00:00,NBA,ML,HOME,0.6075352284102175
2025-10-17T08:45:25.492302+00:00,NBA,ML,HOME,0.5988172144926225
2025-10-17T08:45:25.503374+00:00,NBA,ML,HOME,0.6092508605051551
2025-10-17T08:45:25.514513+00:00,NBA,ML,HOME,0.601670617203504
2025-10-17T08:45:25.525482+00:00,NBA,ML,HOME,0.5985574290627537
2025-10-17T08:45:25.536417+00:00,NBA,ML,HOME,0.5953130094627863
2025-10-17T08:45:25.547432+00:00,NBA,ML,HOME,0.5971171332077314
2025-10-17T08:45:25.558363+00:00,NBA,ML,HOME,0.5896157769435916
2025-10-17T08:45:25.569783+00:00,NBA,ML,HOME,0.5984219749820483
2025-10-17T08:45:25.582643+00:00,NBA,ML,HOME,0.6018133296027245
2025-10-17T08:45:25.594455+00:00,NBA,ML,HOME,0.6024713127712628
2025-10-17T08:45:25.606358+00:00,NBA,ML,HOME,0.6034839278922731
2025-10-17T08:45:25.617591+00:00,NBA,ML,HOME,0.5972922222452974
2025-10-17T08:45:25.628671+00:00,NBA,ML,HOME,0.5978261696276669
2025-10-17T08:45:25.640184+00:00,NBA,ML,HOME,0.6023319374500448
2025-10-17T08:45:25.651869+00:00,NBA,ML,HOME,0.6012228533616576
2025-10-17T08:45:25.663225+00:00,NBA,ML,HOME,0.5964175286916334
2025-10-17T08:45:25.674603+00:00,NBA,ML,HOME,0.6028152860484738
2025-10-17T08:45:25.686054+00:00,NBA,ML,HOME,0.608722929934871
2025-10-17T08:45:25.697326+00:00,NBA,ML,HOME,0.5996814139782174
2025-10-17T08:45:25.709804+00:00,NBA,ML,HOME,0.6012371874394876
2025-10-17T08:45:25.722078+00:00,NBA,ML,HOME,0.5965200300515645
2025-10-17T08:45:25.734711+00:00,NBA,ML,HOME,0.6066693070245807
2025-10-17T08:45:25.746694+00:00,NBA,ML,HOME,0.6016722808617794
2025-10-17T08:45:25.758243+00:00,NBA,ML,HOME,0.5988045666053521
2025-10-17T08:45:25.770178+00:00,NBA,ML,HOME,0.6016672709207039
2025-10-17T08:45:25.781664+00:00,NBA,ML,HOME,0.5989532552875257
2025-10-17T08:45:25.793003+00:00,NBA,ML,HOME,0.6068602012782662
2025-10-17T08:45:25.804347+00:00,NBA,ML,HOME,0.5968123309455114
2025-10-17T08:45:25.815784+00:00,NBA,ML,HOME,0.6043557013869829
2025-10-17T08:45:25.827553+00:00,NBA,ML,HOME,0.6004781663548486
2025-10-17T08:45:25.838995+00:00,NBA,ML,HOME,0.6009555171259555
2025-10-17T08:45:25.850358+00:00,NBA,ML,HOME,0.5947670800707829
2025-10-17T08:45:25.861872+00:00,NBA,ML,HOME,0.5988279955365065
2025-10-17T08:45:25.873735+00:00,NBA,ML,HOME,0.5990830306782325
2025-10-17T08:45:25.885068+00:00,NBA,ML,HOME,0.6057179411440629
2025-10-17T08:45:25.896425+00:00,NBA,ML,HOME,0.591355197047815
2025-10-17T08:45:25.907887+00:00,NBA,ML,HOME,0.6000258084443302
2025-10-17T08:45:25.919466+00:00,NBA,ML,HOME,0.5934522465756974
2025-10-17T08:45:25.931153+00:00,NBA,ML,HOME,0.598801816969915
2025-10-17T08:45:25.942262+00:00,NBA,ML,HOME,0.601728232073048
2025-10-17T08:45:25.953399+00:00,NBA,ML,HOME,0.6013118747954412
2025-10-17T08:45:25.964684+00:00,NBA,ML,HOME,0.6025233663143494
2025-10-17T08:45:25.975677+00:00,NBA,ML,HOME,0.5973941637213395
2025-10-17T08:45:25.986763+00:00,NBA,ML,HOME,0.6074823616403738
2025-10-17T08:45:25.997839+00:00,NBA,ML,HOME,0.6034244203319129
2025-10-17T08:45:26.009041+00:00,NBA,ML,HOME,0.6018472758340356
2025-10-17T08:45:26.020646+00:00,NBA,ML,HOME,0.606402682562825
2025-10-17T08:45:26.031745+00:00,NBA,ML,HOME,0.6069109075768852
2025-10-17T08:45:26.044028+00:00,NBA,ML,HOME,0.6101545291292376
2025-10-17T08:45:26.056262+00:00,NBA,ML,HOME,0.6052714163834377
2025-10-17T08:45:26.068347+00:00,NBA,ML,HOME,0.5913966917223591
2025-10-17T08:45:26.082216+00:00,NBA,ML,HOME,0.5934270377771131
2025-10-17T08:45:26.096729+00:00,NBA,ML,HOME,0.5896150973547312
2025-10-17T08:45:26.108208+00:00,NBA,ML,HOME,0.5993346481369087
2025-10-17T08:45:26.119288+00:00,NBA,ML,HOME,0.6123649171799564
2025-10-17T08:45:26.130421+00:00,NBA,ML,HOME,0.5924700331504635
2025-10-17T08:45:26.141403+00:00,NBA,ML,HOME,0.5980733717529231
2025-10-17T08:45:26.152867+00:00,NBA,ML,HOME,0.5999683046881886
2025-10-17T08:45:26.164025+00:00,NBA,ML,HOME,0.598096114523351
2025-10-17T08:45:26.175137+00:00,NBA,ML,HOME,0.6062576859459288
2025-10-17T08:45:26.186392+00:00,NBA,ML,HOME,0.5957301721034565
2025-10-17T08:45:26.197505+00:00,NBA,ML,HOME,0.6089540599756199
2025-10-17T08:45:26.208588+00:00,NBA,ML,HOME,0.6075125172802045
2025-10-17T08:45:26.219732+00:00,NBA,ML,HOME,0.6037978614302474
2025-10-17T08:45:26.230947+00:00,NBA,ML,HOME,0.6024305032591052
2025-10-17T08:45:26.241948+00:00,NBA,ML,HOME,0.5935109229579473
2025-10-17T08:45:26.253076+00:00,NBA,ML,HOME,0.5999567199334753
2025-10-17T08:45:26.264327+00:00,NBA,ML,HOME,0.5987088558833865
2025-10-17T08:45:26.275305+00:00,NBA,ML,HOME,0.5987383302467842
2025-10-17T08:45:26.286281+00:00,NBA,ML,HOME,0.6139713015245023
2025-10-17T08:45:26.297468+00:00,NBA,ML,HOME,0.5988961331272488
2025-10-17T08:45:26.308444+00:00,NBA,ML,HOME,0.5954657517955048
2025-10-17T08:45:26.319382+00:00,NBA,ML,HOME,0.5898246334863446
2025-10-17T08:45:26.330375+00:00,NBA,ML,HOME,0.6072223589380054
2025-10-17T08:45:26.341460+00:00,NBA,ML,HOME,0.6058276763871485
2025-10-17T08:45:26.352413+00:00,NBA,ML,HOME,0.5952578603958509
2025-10-17T08:45:26.363434+00:00,NBA,ML,HOME,0.6034984739324387
2025-10-17T08:45:26.374713+00:00,NBA,ML,HOME,0.6012625866715148
2025-10-17T08:45:26.385696+00:00,NBA,ML,HOME,0.6063606651071343
2025-10-17T08:45:26.396696+00:00,NBA,ML,HOME,0.6008227581584503
2025-10-17T08:45:26.407743+00:00,NBA,ML,HOME,0.6062587957408964
2025-10-17T08:45:26.419128+00:00,NBA,ML,HOME,0.5977917014008958
2025-10-17T08:45:26.430212+00:00,NBA,ML,HOME,0.6031379376821846
2025-10-17T08:45:26.441325+00:00,NBA,ML,HOME,0.609427986586924
2025-10-17T08:45:26.452409+00:00,NBA,ML,HOME,0.5997683892622847
2025-10-17T08:45:26.463532+00:00,NBA,ML,HOME,0.6010698840069645
2025-10-17T08:45:26.474586+00:00,NBA,ML,HOME,0.602098329670643
2025-10-17T08:45:26.486433+00:00,NBA,ML,HOME,0.6052029302625621
2025-10-17T08:45:26.498717+00:00,NBA,ML,HOME,0.6106841902031009
2025-10-17T08:45:26.510025+00:00,NBA,ML,HOME,0.5991021942876176
2025-10-17T08:45:26.521590+00:00,NBA,ML,HOME,0.5971401983378147
2025-10-17T08:45:26.533360+00:00,NBA,ML,HOME,0.6053539104390729
2025-10-17T08:45:26.544843+00:00,NBA,ML,HOME,0.6008708636690248
2025-10-17T08:45:26.556026+00:00,NBA,ML,HOME,0.6053452362393239
2025-10-17T08:45:26.567290+00:00,NBA,ML,HOME,0.6020878141323872
2025-10-17T08:45:26.579666+00:00,NBA,ML,HOME,0.6060782916966033
2025-10-17T08:45:26.592490+00:00,NBA,ML,HOME,0.5976381512236287
2025-10-17T08:45:26.604768+00:00,NBA,ML,HOME,0.5880869885865796
2025-10-17T08:45:26.616054+00:00,NBA,ML,HOME,0.5978745739937592
2025-10-17T08:45:26.627252+00:00,NBA,ML,HOME,0.6041770373647198
2025-10-17T08:45:26.638556+00:00,NBA,ML,HOME,0.6001238686389654
2025-10-17T08:45:26.649705+00:00,NBA,ML,HOME,0.6031335252345844
2025-10-17T08:45:26.660904+00:00,NBA,ML,HOME,0.6010055232725942
