entry_ts,league,market,sharp_books_used,sharp_entry_odds,sharp_entry_prob,fair_prob,edge_vs_sharp_entry,exec_book,exec_odds,exec_prob,sharp_close_prob,latency_ms,result,selection,sharp_close_prob_close,clv_pp,pnl,stake
2025-10-17T08:45:25.029490+00:00,NBA,ML,"pinnacle,sbo,isn",1.827710341676789,0.5471326485369525,0.6,0.0528673514630474,DK,1.6771551926657418,0.5962477440209677,0.5565382957008647,41.0,PENDING,HOME,0.5942477440209677,-3.9709448320103036,,0.0
2025-10-17T08:45:25.036068+00:00,NBA,ML,"sbo,isn",1.9103984848603208,0.5234510014140402,0.6,0.0765489985859597,PB,1.662285953174598,0.6015812129617178,0.5232829898389973,85.0,PENDING,HOME,0.6005812129617178,-7.82982231227205,,0.0
2025-10-17T08:45:25.048628+00:00,NBA,ML,"pinnacle,isn",1.924779215389948,0.5195401072519408,0.6,0.0804598927480592,FD,1.667584264601948,0.5996698465121939,0.5308125193216211,138.0,PENDING,HOME,0.5996698465121939,-6.88573271905728,,0.0
2025-10-17T08:45:25.059602+00:00,NBA,ML,"pinnacle,sbo,isn",1.9849399955512368,0.5037935666777124,0.6,0.0962064333222876,DK,1.653454427650519,0.6047944130041449,0.5125780696907851,118.0,PENDING,HOME,0.6057944130041449,-9.22163433133598,,0.0
2025-10-17T08:45:25.072505+00:00,NBA,ML,"pinnacle,sbo,isn",1.9063881169030252,0.5245521576291216,0.6,0.0754478423708784,DK,1.6838211749441998,0.5938872933066298,0.5230068628084336,102.0,PENDING,HOME,0.5958872933066298,-7.088043049819626,,0.0
2025-10-17T08:45:25.084769+00:00,NBA,ML,"pinnacle,sbo,isn",1.7967949828676837,0.5565465228559358,0.6,0.0434534771440642,DK,1.6717577829904025,0.5981727796781796,0.5606738489718956,137.0,PENDING,HOME,0.5961727796781796,-3.749893070628396,,0.0
2025-10-17T08:45:25.096973+00:00,NBA,ML,"pinnacle,sbo,isn",1.8621501041094397,0.5370136369743637,0.6,0.0629863630256363,DK,1.6595824247469042,0.6025612136453576,0.5288759096918849,144.0,PENDING,HOME,0.6015612136453576,-7.368530395347273,,0.0
2025-10-17T08:45:25.108338+00:00,NBA,ML,"pinnacle,sbo,isn",1.8490376409708884,0.5408218728716211,0.6,0.0591781271283788,FD,1.6550789557950372,0.6042007823848126,0.5325770607147087,146.0,PENDING,HOME,0.6042007823848126,-7.162372167010389,,0.0
2025-10-17T08:45:25.121017+00:00,NBA,ML,"pinnacle,sbo,isn",1.862369855265175,0.5369502718124775,0.6,0.0630497281875225,PB,1.6505572939080686,0.6058559758518126,0.5423818144955294,93.0,PENDING,HOME,0.6068559758518126,-6.347416135628325,,0.0
2025-10-17T08:45:25.133485+00:00,NBA,ML,"sbo,isn",1.8913978447925477,0.5287094953360709,0.6,0.071290504663929,DK,1.6697095536602915,0.5989065570163549,0.5374237831155528,128.0,PENDING,HOME,0.6009065570163549,-6.148277390080203,,0.0
2025-10-17T08:45:25.145446+00:00,NBA,ML,"pinnacle,sbo,isn",1.9613313101172292,0.5098577659172889,0.6,0.090142234082711,DK,1.6706919120083006,0.59855440300655,0.5161706481756744,61.0,PENDING,HOME,0.59655440300655,-8.238375483087568,,0.0
2025-10-17T08:45:25.157212+00:00,NBA,ML,"pinnacle,sbo,isn",1.7579050856839382,0.5688589265392197,0.6,0.0311410734607803,PB,1.6578403543473632,0.6031943892412167,0.5661075040269529,179.0,PENDING,HOME,0.6021943892412167,-3.7086885214263843,,0.0
2025-10-17T08:45:25.169929+00:00,NBA,ML,"pinnacle,sbo,isn",1.8710670699213805,0.5344543849205889,0.6,0.065545615079411,FD,1.6436167258002388,0.608414348858079,0.5311055346207312,126.0,PENDING,HOME,0.608414348858079,-7.730881423734781,,0.0
